animal;category;hint
лошадь;млекопитающие;крупное непарнокопытное млекопитающее, одомашненное и широко использующееся человеком для передвижения верхом, перевозки грузов и т.п.
манул;млекопитающие;небольшое хищное млекопитающее семейства кошачьих
морж;млекопитающие;морское ластоногое млекопитающее с короткой грубой жёлтой шерстью, длинными клыками и длинными усами
мышь;млекопитающие;небольшой грызун, обычно серого цвета, с острой мордочкой и длинным голым хвостом
овца;млекопитающие;небольшое домашнее жвачное животное семейства полорогих, дающее шерсть, мясо, молоко
орангутан;млекопитающие;древесная человекообразная обезьяна, в переводе с малайского «лесной человек»
ондатра;млекопитающие;полуводный грызун с блестящим густым мехом бурого цвета; «мускусная крыса»
олень;млекопитающие;жвачное парнокопытное млекопитающее с ветвистыми рогами
обезьяна;млекопитающие;высокоорганизованное млекопитающее из отряда приматов
панда;млекопитающие;бамбуковый медведь Китая
рысь;млекопитающие;самый северный вид из семейства кошачьих, отличаются коротким хвостом и кисточками на концах ушей
лиса;млекопитающие;хищное млекопитающее семейства псовых с невысокой вытянутой мордой, острыми ушами и длинным пушистым хвостом
куница;млекопитающие;хищный лесной зверёк с ценным мехом
свинья;млекопитающие;нежвачное парнокопытное с характерной мордой, заканчивающейся носом-пятачком, покрытое короткой шерстью
сурок;млекопитающие;некрупное пушистое млекопитающее из семейства беличьих
суслик;млекопитающие;род некрупных грызунов семейства беличьих
тигр;млекопитающие;крупный хищник семейства кошачьих, оранжево-жёлтой с черными полосами окраски
ленивец;млекопитающие;южноамериканское животное, живущее на деревьях и ведущее малоподвижный образ жизни
тушканчик;млекопитающие;небольшой грызун с очень длинными задними ногами и хвостом, обитающий в степях и пустынях
тюлень;млекопитающие;ластоногое морское млекопитающее
хомяк;млекопитающие;небольшой короткохвостый пушистый грызун, распространенный в качестве домашнего питомца
шакал;млекопитающие;хищное, похожее на волка животное из семейства псовых, питается преимущественно падалью
шимпанзе;млекопитающие;человекообразная обезьяна, обитает в лесах Экваториальной Африки
ягуар;млекопитающие;крупное хищное млекопитающее семейства кошачьих с короткой красновато-жёлтой пятнистой шерстью, обитает в Южной и Центральной Америке
кролик;млекопитающие;небольшое пушистое животное с длинными ушами, млекопитающее из семейства зайцев
кошка;млекопитающие;домашнее животное, одно из наиболее популярных «животных-компаньонов», небольшое хищное млекопитающее, истребляющее грызунов
собака;млекопитающие;домашнее животное семейства псовых, одно из наиболее распространённых «животных-компаньонов»
воробей;птицы;небольшая птичка с коричневато серым оперением, обитает по соседству с жилищем человека
ворона;птицы;серая с черным птица, широко распространена в городах
кукушка;птицы;лесная перелётная птица, обычно не вьющая своего гнезда и кладущая яйцо в чужое гнездо
стриж;птицы;сходная с ласточкой небольшая птица с длинными острыми крыльями, позволяющими летать очень быстро
ласточка;птицы;маленькая птица из породы воробьиных, юркая и быстрая при полете
дятел;птицы;лесная лазящая птица, добывает насекомых, долбя клювом кору деревьев
синица;птицы;небольшая пёстрая птица отряда воробьиных, на зимовку прилетает поближе к людям, в деревни и города
голубь;птицы;птица средних размеров, с плотным оперением, обычно серо-сизого цвета, распространенная в городах
ворон;птицы;крупная всеядная птица с блестящим чёрным оперением, символ мудрости
галка;птицы;птица семейства врановых с тёмным оперением и большой головой
петух;птицы;домашняя птица, самец кур, с красным гребнем на голове и шпорами на ногах
курица;птицы;разновидность домашней птицы семейства фазановых
индюк;птицы;большая домашняя птица (самец) из семейства куриных с широким распускающимся хвостом
гусь;птицы;дикая и домашняя крупная водоплавающая птица семейства утиных с длинной шеей, имеющая белое или серое оперение
утка;птицы;водоплавающая птица с широким плоским клювом, короткой шеей и короткими, широко расставленными перепончатыми ногами
лебедь;птицы;крупная водоплавающая перелётная птица с длинной, красиво изогнутой шеей, мощными крыльями и белым (реже серым или чёрным) оперением
сокол;птицы;хищная птица с сильным клювом и длинными острыми крыльями, парящая при полёте
зяблик;птицы;небольшая лесная певчая птица семейства вьюрковых с пестрым оперением у самцов
дрозд;птицы;небольшая певчая птица отряда воробьиных
скворец;птицы;небольшая перелётная певчая птица отряда воробьиных с тёмным оперением
фламинго;птицы;водная птица с нежно-розовым оперением и с очень длинными шеей и ногами
чайка;птицы;водоплавающая птица с мягким густым оперением и короткими ногами
колибри;птицы;очень маленькая птичка отряда длиннокрылых с пестрыми перьями, живущая в Центральной и Южной Америке
сойка;птицы;лесная птица отряда воробьиных, с пестрым оперением
соловей;птицы;певчая птица семейства дроздовых, с серым оперением, стройного сложения, отличающаяся необыкновенно красивым пением
сова;птицы;хищная ночная птица с большими глазами, продолговатым крючковатым носом и с круглой головой
попугай;птицы;лесная птица тропических стран, обычно с ярким и пестрым оперением, отличающаяся способностью подражать человеческому голосу
павлин;птицы;птица из породы куриных, с очень длинным роскошно окрашенным хвостом у самцов
страус;птицы;самая крупная бегающая (не летающая) птица жарких стран с красивым оперением
фазан;птицы;крупная птица, узнаваемая по узкому, в полете клиновидному, очень длинному хвосту, с ярким оперением у самцов
аист;птицы;большая перелетная птица из семьи цапель, вьющая гнездо в деревнях на кровлях и деревьях
журавль;птицы;большая болотная перелетная птица с длинным прямым клювом и с длинными ногами и шеей, вьет гнезда в болотах
цапля;птицы;болотная птица с длинной шеей, длинным клювом и длинными ногами
альбатрос;птицы;одна из самых больших морских птиц, из семейства буревестников; водится на морях южного полушария
пеликан;птицы;большая птица, у которой под нижнею челюстью висит большой растягивающийся кожистый мешок, в который она собирает запас рыбы и воды
гриф;птицы;крупная хищная птица со светлым опереньем и тёмными крыльями, питающаяся падалью
пингвин;птицы;крупная морская птица с похожими на ласты короткими крыльями, приспособленными не для летания, а для плавания
куропатка;птицы;дикая птица отряда куриных
тетерев;птицы;крупная лесная птица из семейства тетеревиных
глухарь;птицы;крупная птица из подсемейства тетеревиных;  когда самец токует перед своей возлюбленной, он ничего не слышит и не видит
лысуха;птицы;черная водоплавающая птица размером с небольшую утку, с белыми клювом и белой голой бляшкой на лбу
горлица;птицы;лесная птица из породы голубей
зимородок;птицы;небольшая, родственная удоду птица с крупной головой на короткой шее и длинным клювом
трясогузка;птицы;небольшая птица отряда воробьиных с постоянно покачивающимся длинным узким хвостом
удод;птицы;птица с пестрым оперением, веерообразным хохолком и длинным изогнутым клювом
жаворонок;птицы;небольшая певчая птица отряда воробьиных, обитающая преимущественно в полях и лугах
грач;птицы;сравнительно крупная перелётная птица семейства вороновых с чёрным блестящим оперением и светлым клювом
снегирь;птицы;небольшая певчая птичка отряда воробьиных, серая, с красной грудью у самцов
иволга;птицы;певчая птичка со звонким голосом, с перьями желтого и черного цвета
щегол;птицы;певчая птица семейства вьюрковых с пестрым оперением
карась;рыбы и морские обитатели;съедобная рыба из семейства карповых, водящаяся в прудах и озерах с илистым дном
треска;рыбы и морские обитатели;крупная промысловая рыба северных морей
угорь;рыбы и морские обитатели;змееподобная рыба
окунь;рыбы и морские обитатели;рыба с темно зеленой спиной и с красноватыми нижними плавниками
щука;рыбы и морские обитатели;большая хищная пресноводная рыба с плоской вытянутой головой и удлиненным телом
камбала;рыбы и морские обитатели;морская промысловая рыба с плоским телом и асимметричным строением черепа, глазами на одной стороне
лосось;рыбы и морские обитатели;крупная рыба с нежным мясом розового цвета
форель;рыбы и морские обитатели;рыба семейства лососевых, обитает в чистой воде горных речек, в проточных водоемах с быстрым подводным течением
медуза;рыбы и морские обитатели;беспозвоночное морское животное с прозрачным студенистым телом, по краям снабжённым щупальцами
краб;рыбы и морские обитатели;беспозвоночное животное, морской рак с коротким брюшком, обитающий преимущественно в тропиках в морях, реже в пресных водах, на суше
омар;рыбы и морские обитатели;крупное морское ракообразное
акула;рыбы и морские обитатели;крупная хищная морская рыба
креветка;рыбы и морские обитатели;беспозвоночное ракообразное животное, обитающее в морях, реже — в пресных водоёмах
налим;рыбы и морские обитатели;единственная пресноводная рыба из семейства тресковых, хищник
пескарь;рыбы и морские обитатели;маленькая речная рыбка семейства карповых
плотва;рыбы и морские обитатели;небольшая пресноводная рыба семейства карповых
карп;рыбы и морские обитатели;пресноводная костистая рыба, покрытая крупной тёмно золотистой чешуёй; разновидность сазана
жук;насекомые;насекомое, имеющее жесткие надкрылья
муравей;насекомые;небольшое насекомое из отряда перепончатокрылых, живущее большими сообществами
пчела;насекомые;насекомое с брюшком золотистого цвета и острым жалом, собирающее цветочную пыльцу и перерабатывающее ее в мед
оса;насекомые;жалящее летающее перепончатокрылое насекомое, обычно с чёрными и жёлтыми поперечными полосами
шмель;насекомые;насекомое с двумя парами прозрачных перепончатых крыльев и толстым мохнатым брюшком
бабочка;насекомые;полевое насекомое из разряда чешуекрылых, с двумя парами крыльев более или менее яркой окраски, покрытыми пыльцой
гусеница;насекомые;личинка бабочки, обычно червеобразная, с несколькими парами ног
таракан;насекомые;прямокрылое всеядное насекомое, приносящее вред в домашнем хозяйстве
стрекоза;насекомые;насекомое с длинным тонким телом и большими глазами и двумя парами прозрачных крыльев, при полёте производит стрекочущий шум
комар;насекомые;двукрылое насекомое, самки которого сосут кровь
муха;насекомые;насекомое отряда двукрылых
слепень;насекомые;крупная муха, питающаяся кровью животных и соком растений
кузнечик;насекомые;прыгающее насекомое отряда прямокрылых, издающее стрекочущие звуки
саранча;насекомые;стадное насекомое отряда прямокрылых, перелетающее огромными массами, вредитель сельского хозяйства
тля;насекомые;мелкое паразитическое насекомое, питающееся соком растений; «растительная вошь»
блоха;насекомые;мелкое прыгающее кровососущее насекомое, паразитирующее на теле животного, человека
вошь;насекомые;мелкое бескрылое кровососущее насекомое, паразит на теле животного, человека
мошка;насекомые;мелкое двукрылое летающее насекомое
водомерка;насекомые;насекомое с тонким вытянутым телом и длинными ногами, быстро скользящее по поверхности воды; «водяной клоп»
клоп;насекомые;небольшое насекомое паразит с неприятным запахом
питон;рептилии и амфибии;крупная тропическая неядовитая змея, название получила от мифического змея, убитого Аполлоном
гадюка;рептилии и амфибии;некрупная ядовитая змея с плоской треугольной головой
ящерица;рептилии и амфибии;небольшое пресмыкающееся с удлинённым телом и длинным хвостом, покрытое мелкой роговой чешуей
игуана;рептилии и амфибии;очень большая ящерица, живущая преимущественно в тропической Америке
хамелеон;рептилии и амфибии;пресмыкающееся, обладающее способностью менять окраску своего кожного покрова
крокодил;рептилии и амфибии;крупное хищное водное пресмыкающееся из отряда ящеров с толстой панцирной кожей
тритон;рептилии и амфибии;хвостатое земноводное, водная саламандра
саламандра;рептилии и амфибии;хвостатое земноводное, похожее на ящерицу, по легендам несгораемое, символ огня
черепаха;рептилии и амфибии;пресмыкающееся с телом, покрытым костным панцирем
жаба;рептилии и амфибии;сходное с лягушкой бесхвостое земноводное с бородавчатой кожей
лягушка;рептилии и амфибии;бесхвостое земноводное с длинными задними ногами, приспособленными для прыгания
змея;рептилии и амфибии;пресмыкающееся с длинным покрытым чешуей телом, не имеющее конечностей, часто с ядовитыми железами в пасти, хищник
удав;рептилии и амфибии;большая хищная змея тропических стран, обычно обвивающая свою жертву при нападении, яйцеживородящая
медянка;рептилии и амфибии;некрупная неядовитая змея семейства ужей
кобра;рептилии и амфибии;ядовитая змея семейства аспидов
аллигатор;рептилии и амфибии;американский или китайский пресноводный крокодил
